questions[0].question,questions[1].question,questions[2].question,questions[3].question,questions[4].question,questions[5].question,questions[6].question,questions[7].question,questions[8].question,questions[9].question,questions[10].question,questions[11].question,questions[12].question,questions[13].question,questions[14].question,questions[15].question,questions[16].question,questions[17].question,questions[18].question,questions[19].question,questions[20].question,questions[21].question,questions[22].question,questions[23].question,questions[24].question,questions[25].question,questions[26].question,questions[27].question,questions[28].question,questions[29].question,questions[30].question,questions[31].question,questions[32].question,questions[33].question,questions[34].question,questions[35].question,questions[36].question,questions[37].question,questions[38].question,questions[39].question,questions[40].question,questions[41].question,questions[42].question,questions[43].question,questions[44].question,questions[45].question,questions[46].question,questions[47].question,questions[48].question,questions[49].question,questions[0].answer,questions[1].answer,questions[2].answer,questions[3].answer,questions[4].answer,questions[5].answer,questions[6].answer,questions[7].answer,questions[8].answer,questions[9].answer,questions[10].answer,questions[11].answer,questions[12].answer,questions[13].answer,questions[14].answer,questions[15].answer,questions[16].answer,questions[17].answer,questions[18].answer,questions[19].answer,questions[20].answer,questions[21].answer,questions[22].answer,questions[23].answer,questions[24].answer,questions[25].answer,questions[26].answer,questions[27].answer,questions[28].answer,questions[29].answer,questions[30].answer,questions[31].answer,questions[32].answer,questions[33].answer,questions[34].answer,questions[35].answer,questions[36].answer,questions[37].answer,questions[38].answer,questions[39].answer,questions[40].answer,questions[41].answer,questions[42].answer,questions[43].answer,questions[44].answer,questions[45].answer,questions[46].answer,questions[47].answer,questions[48].answer,questions[49].answer,user_response,score,relationshipStatus
"Usually, I don't feel tired, worn out, used up, or exhausted.",The thought of an accident doesn't affect me.,Tension in life doesn't affect my health.,I always keep committed and involved.,I believe that people are essentially good and can be trusted.,In most ways my life is close to my ideal.,I like to watch programs on TV with everyone.,"So far, I have the important things I want in life.",I am quite good at managing responsibilities of my daily life.,"For me, life has been a continuous process of learning, changing, and growth.",I enjoy my personal achievements.,In my daily life I get a chance to show how capable I am.,I keep myself busy the whole day.,I have good relations with relatives and friends.,I take immense interest in other people.,I feel satisfied by doing religious activities.,I feel I can easily handle or cope with any serious problem.,I think I have a particular meaning and purpose of my life.,"In many ways, I feel contented about my achievements in life.",I find I can think quite clearly.,I have a good influence on life.,I feel I must do what others expect me to do.,I experience warm and trusting relationships with others.,I have no hesitation in talking to anyone.,I like to do any task at the right place and right time.,"If I could live my life over, I would change almost nothing.",I feel rested when I wake up in the morning.,Personal relationships give me pleasure.,I feel positive and creative.,I am living the kind of life I wanted to.,"People would describe me as a giving person, willing to share my time with others.",Maintaining close relationships gives pleasure to me.,Age-related problems are part of life.,"In general, I feel I am in charge of the situation in which I live.",I feel eager to tackle my daily tasks or make new decisions.,The conditions of my life are excellent.,I find easy to make decisions.,I feel that I am capable of working hard.,I enjoy the company of other people.,Illness doesn't affect my mental health.,I have happy memories of the past.,I think it is important to have new experiences that challenge how you think about yourself and the world.,Talking or thinking about my illness doesn't make any difference to me.,"I remain energetic, active, and vigorous the whole day.","I perform useful activities like reading, gardening, etc., in my leisure time.",It is always necessary that others approve of what I do.,I have no difficulty sleeping.,I am always careful about my manner of dress.,I am very much satisfied about everything in my life.,I have an adjusting nature and sense of belongingness.,Undecided,Undecided,Strongly Agree,Strongly Disagree,Disagree,Disagree,Undecided,Agree,Undecided,Undecided,Undecided,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Undecided,Disagree,Undecided,Undecided,Agree,Disagree,Disagree,Undecided,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Undecided,Agree,Undecided,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,I've been having trouble sleeping and it's affecting my mood.,135,Single
"I remain energetic, active, and vigorous the whole day.",I am living the kind of life I wanted to.,I find I can think quite clearly.,I feel I can easily handle or cope with any serious problem.,I am quite good at managing responsibilities of my daily life.,I feel positive and creative.,I am very much satisfied about everything in my life.,I take immense interest in other people.,Tension in life doesn't affect my health.,I enjoy my personal achievements.,I feel eager to tackle my daily tasks or make new decisions.,I experience warm and trusting relationships with others.,I have an adjusting nature and sense of belongingness.,Talking or thinking about my illness doesn't make any difference to me.,I have happy memories of the past.,"For me, life has been a continuous process of learning, changing, and growth.","In many ways, I feel contented about my achievements in life.",It is always necessary that others approve of what I do.,I think I have a particular meaning and purpose of my life.,I enjoy the company of other people.,"So far, I have the important things I want in life.","In general, I feel I am in charge of the situation in which I live.",I have a good influence on life.,The thought of an accident doesn't affect me.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I feel rested when I wake up in the morning.,I have good relations with relatives and friends.,Age-related problems are part of life.,"If I could live my life over, I would change almost nothing.","People would describe me as a giving person, willing to share my time with others.",I like to watch programs on TV with everyone.,In my daily life I get a chance to show how capable I am.,The conditions of my life are excellent.,Maintaining close relationships gives pleasure to me.,Personal relationships give me pleasure.,I like to do any task at the right place and right time.,I believe that people are essentially good and can be trusted.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I keep myself busy the whole day.,I feel satisfied by doing religious activities.,I always keep committed and involved.,I find easy to make decisions.,"I perform useful activities like reading, gardening, etc., in my leisure time.",In most ways my life is close to my ideal.,Illness doesn't affect my mental health.,I feel I must do what others expect me to do.,I have no difficulty sleeping.,I feel that I am capable of working hard.,I have no hesitation in talking to anyone.,I am always careful about my manner of dress.,Disagree,Disagree,Undecided,Disagree,Undecided,Undecided,Disagree,Disagree,Undecided,Undecided,Undecided,Disagree,Disagree,Agree,Disagree,Undecided,Undecided,Undecided,Undecided,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Undecided,Disagree,Agree,Disagree,Disagree,Undecided,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Undecided,Disagree,Undecided,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,I've been feeling a bit anxious and stressed due to work.,139,Single
I believe that people are essentially good and can be trusted.,In my daily life I get a chance to show how capable I am.,I like to do any task at the right place and right time.,I find easy to make decisions.,It is always necessary that others approve of what I do.,Tension in life doesn't affect my health.,The conditions of my life are excellent.,I have happy memories of the past.,"People would describe me as a giving person, willing to share my time with others.",I enjoy my personal achievements.,"In many ways, I feel contented about my achievements in life.",Talking or thinking about my illness doesn't make any difference to me.,"In general, I feel I am in charge of the situation in which I live.",I am quite good at managing responsibilities of my daily life.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I have an adjusting nature and sense of belongingness.,The thought of an accident doesn't affect me.,"So far, I have the important things I want in life.",I keep myself busy the whole day.,I feel eager to tackle my daily tasks or make new decisions.,"I remain energetic, active, and vigorous the whole day.",I have no difficulty sleeping.,"If I could live my life over, I would change almost nothing.",I am very much satisfied about everything in my life.,I enjoy the company of other people.,I feel I must do what others expect me to do.,I experience warm and trusting relationships with others.,I take immense interest in other people.,I feel positive and creative.,I am always careful about my manner of dress.,I feel I can easily handle or cope with any serious problem.,I feel rested when I wake up in the morning.,I am living the kind of life I wanted to.,I have good relations with relatives and friends.,I find I can think quite clearly.,I have no hesitation in talking to anyone.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I feel satisfied by doing religious activities.,I think I have a particular meaning and purpose of my life.,I feel that I am capable of working hard.,Personal relationships give me pleasure.,I think it is important to have new experiences that challenge how you think about yourself and the world.,In most ways my life is close to my ideal.,Illness doesn't affect my mental health.,I have a good influence on life.,Age-related problems are part of life.,I always keep committed and involved.,"For me, life has been a continuous process of learning, changing, and growth.",Maintaining close relationships gives pleasure to me.,I like to watch programs on TV with everyone.,Undecided,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Undecided,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Undecided,Disagree,Undecided,Strongly Agree,Undecided,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Undecided,Disagree,Disagree,Strongly Agree,Undecided,Undecided,Agree,Strongly Agree,I've been having trouble sleeping and it's affecting my mood.,164,Single
I believe that people are essentially good and can be trusted.,In my daily life I get a chance to show how capable I am.,I like to do any task at the right place and right time.,I find easy to make decisions.,It is always necessary that others approve of what I do.,Tension in life doesn't affect my health.,The conditions of my life are excellent.,I have happy memories of the past.,"People would describe me as a giving person, willing to share my time with others.",I enjoy my personal achievements.,"In many ways, I feel contented about my achievements in life.",Talking or thinking about my illness doesn't make any difference to me.,"In general, I feel I am in charge of the situation in which I live.",I am quite good at managing responsibilities of my daily life.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I have an adjusting nature and sense of belongingness.,The thought of an accident doesn't affect me.,"So far, I have the important things I want in life.",I keep myself busy the whole day.,I feel eager to tackle my daily tasks or make new decisions.,"I remain energetic, active, and vigorous the whole day.",I have no difficulty sleeping.,"If I could live my life over, I would change almost nothing.",I am very much satisfied about everything in my life.,I enjoy the company of other people.,I feel I must do what others expect me to do.,I experience warm and trusting relationships with others.,I take immense interest in other people.,I feel positive and creative.,I am always careful about my manner of dress.,I feel I can easily handle or cope with any serious problem.,I feel rested when I wake up in the morning.,I am living the kind of life I wanted to.,I have good relations with relatives and friends.,I find I can think quite clearly.,I have no hesitation in talking to anyone.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I feel satisfied by doing religious activities.,I think I have a particular meaning and purpose of my life.,I feel that I am capable of working hard.,Personal relationships give me pleasure.,I think it is important to have new experiences that challenge how you think about yourself and the world.,In most ways my life is close to my ideal.,Illness doesn't affect my mental health.,I have a good influence on life.,Age-related problems are part of life.,I always keep committed and involved.,"For me, life has been a continuous process of learning, changing, and growth.",Maintaining close relationships gives pleasure to me.,I like to watch programs on TV with everyone.,Undecided,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Undecided,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Undecided,Disagree,Undecided,Strongly Agree,Undecided,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Undecided,Disagree,Disagree,Strongly Agree,Undecided,Undecided,Agree,Strongly Agree,I've been having trouble sleeping and it's affecting my mood.,164,Single
I believe that people are essentially good and can be trusted.,In my daily life I get a chance to show how capable I am.,I like to do any task at the right place and right time.,I find easy to make decisions.,It is always necessary that others approve of what I do.,Tension in life doesn't affect my health.,The conditions of my life are excellent.,I have happy memories of the past.,"People would describe me as a giving person, willing to share my time with others.",I enjoy my personal achievements.,"In many ways, I feel contented about my achievements in life.",Talking or thinking about my illness doesn't make any difference to me.,"In general, I feel I am in charge of the situation in which I live.",I am quite good at managing responsibilities of my daily life.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I have an adjusting nature and sense of belongingness.,The thought of an accident doesn't affect me.,"So far, I have the important things I want in life.",I keep myself busy the whole day.,I feel eager to tackle my daily tasks or make new decisions.,"I remain energetic, active, and vigorous the whole day.",I have no difficulty sleeping.,"If I could live my life over, I would change almost nothing.",I am very much satisfied about everything in my life.,I enjoy the company of other people.,I feel I must do what others expect me to do.,I experience warm and trusting relationships with others.,I take immense interest in other people.,I feel positive and creative.,I am always careful about my manner of dress.,I feel I can easily handle or cope with any serious problem.,I feel rested when I wake up in the morning.,I am living the kind of life I wanted to.,I have good relations with relatives and friends.,I find I can think quite clearly.,I have no hesitation in talking to anyone.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I feel satisfied by doing religious activities.,I think I have a particular meaning and purpose of my life.,I feel that I am capable of working hard.,Personal relationships give me pleasure.,I think it is important to have new experiences that challenge how you think about yourself and the world.,In most ways my life is close to my ideal.,Illness doesn't affect my mental health.,I have a good influence on life.,Age-related problems are part of life.,I always keep committed and involved.,"For me, life has been a continuous process of learning, changing, and growth.",Maintaining close relationships gives pleasure to me.,I like to watch programs on TV with everyone.,Undecided,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Undecided,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Undecided,Disagree,Undecided,Strongly Agree,Undecided,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Undecided,Disagree,Disagree,Strongly Agree,Undecided,Undecided,Agree,Strongly Agree,I've been having trouble sleeping and it's affecting my mood.,164,Single
I have happy memories of the past.,In my daily life I get a chance to show how capable I am.,I feel rested when I wake up in the morning.,"In many ways, I feel contented about my achievements in life.",I am living the kind of life I wanted to.,I am always careful about my manner of dress.,I always keep committed and involved.,It is always necessary that others approve of what I do.,Personal relationships give me pleasure.,I take immense interest in other people.,I feel I must do what others expect me to do.,I enjoy my personal achievements.,I am quite good at managing responsibilities of my daily life.,I like to watch programs on TV with everyone.,I find I can think quite clearly.,I am very much satisfied about everything in my life.,I think I have a particular meaning and purpose of my life.,I like to do any task at the right place and right time.,Illness doesn't affect my mental health.,Tension in life doesn't affect my health.,I have good relations with relatives and friends.,Talking or thinking about my illness doesn't make any difference to me.,I have no hesitation in talking to anyone.,Maintaining close relationships gives pleasure to me.,"In general, I feel I am in charge of the situation in which I live.",I have no difficulty sleeping.,I find easy to make decisions.,I feel I can easily handle or cope with any serious problem.,The conditions of my life are excellent.,I believe that people are essentially good and can be trusted.,The thought of an accident doesn't affect me.,I have a good influence on life.,I feel satisfied by doing religious activities.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I have an adjusting nature and sense of belongingness.,I feel that I am capable of working hard.,In most ways my life is close to my ideal.,"I remain energetic, active, and vigorous the whole day.",I feel eager to tackle my daily tasks or make new decisions.,I feel positive and creative.,I experience warm and trusting relationships with others.,Age-related problems are part of life.,"People would describe me as a giving person, willing to share my time with others.","So far, I have the important things I want in life.","Usually, I don't feel tired, worn out, used up, or exhausted.","I perform useful activities like reading, gardening, etc., in my leisure time.",I keep myself busy the whole day.,"If I could live my life over, I would change almost nothing.","For me, life has been a continuous process of learning, changing, and growth.",I enjoy the company of other people.,Agree,Disagree,Undecided,Agree,Agree,Agree,Undecided,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Undecided,Undecided,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Undecided,Agree,Disagree,Undecided,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Undecided,Agree,Agree,Agree,Disagree,Undecided,Disagree,Strongly Agree,I've been feeling a bit anxious and stressed due to work.,166,Single
The thought of an accident doesn't affect me.,I feel satisfied by doing religious activities.,Personal relationships give me pleasure.,I like to do any task at the right place and right time.,Maintaining close relationships gives pleasure to me.,Talking or thinking about my illness doesn't make any difference to me.,I feel I can easily handle or cope with any serious problem.,I believe that people are essentially good and can be trusted.,"I remain energetic, active, and vigorous the whole day.",I am always careful about my manner of dress.,"In general, I feel I am in charge of the situation in which I live.","So far, I have the important things I want in life.","Usually, I don't feel tired, worn out, used up, or exhausted.",Age-related problems are part of life.,I enjoy my personal achievements.,I think I have a particular meaning and purpose of my life.,I feel eager to tackle my daily tasks or make new decisions.,I take immense interest in other people.,In most ways my life is close to my ideal.,I feel I must do what others expect me to do.,I keep myself busy the whole day.,I like to watch programs on TV with everyone.,I have no hesitation in talking to anyone.,I am quite good at managing responsibilities of my daily life.,I have good relations with relatives and friends.,I feel rested when I wake up in the morning.,I experience warm and trusting relationships with others.,I always keep committed and involved.,I have an adjusting nature and sense of belongingness.,"For me, life has been a continuous process of learning, changing, and growth.",I have a good influence on life.,I have happy memories of the past.,It is always necessary that others approve of what I do.,Tension in life doesn't affect my health.,I find I can think quite clearly.,I enjoy the company of other people.,I am living the kind of life I wanted to.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I feel that I am capable of working hard.,I think it is important to have new experiences that challenge how you think about yourself and the world.,Illness doesn't affect my mental health.,I am very much satisfied about everything in my life.,The conditions of my life are excellent.,I find easy to make decisions.,In my daily life I get a chance to show how capable I am.,I feel positive and creative.,"In many ways, I feel contented about my achievements in life.","If I could live my life over, I would change almost nothing.",I have no difficulty sleeping.,"People would describe me as a giving person, willing to share my time with others.",Disagree,Agree,Undecided,Agree,Agree,Undecided,Disagree,Agree,Agree,Disagree,Agree,Undecided,Undecided,Agree,Agree,Undecided,Agree,Agree,Undecided,Disagree,Agree,Agree,Disagree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Disagree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Disagree,Undecided,Agree,Was feeling a bit tensed earlier but now it okay,168,Single
"If I could live my life over, I would change almost nothing.",I think it is important to have new experiences that challenge how you think about yourself and the world.,I enjoy the company of other people.,I experience warm and trusting relationships with others.,I always keep committed and involved.,I think I have a particular meaning and purpose of my life.,I enjoy my personal achievements.,The conditions of my life are excellent.,I believe that people are essentially good and can be trusted.,The thought of an accident doesn't affect me.,I like to watch programs on TV with everyone.,I take immense interest in other people.,"In many ways, I feel contented about my achievements in life.",Tension in life doesn't affect my health.,I keep myself busy the whole day.,I feel I must do what others expect me to do.,In my daily life I get a chance to show how capable I am.,I have happy memories of the past.,I feel I can easily handle or cope with any serious problem.,"I remain energetic, active, and vigorous the whole day.",I like to do any task at the right place and right time.,I am living the kind of life I wanted to.,I feel positive and creative.,I am very much satisfied about everything in my life.,I am always careful about my manner of dress.,I find easy to make decisions.,I feel satisfied by doing religious activities.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I have good relations with relatives and friends.,In most ways my life is close to my ideal.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Talking or thinking about my illness doesn't make any difference to me.,I have no hesitation in talking to anyone.,I am quite good at managing responsibilities of my daily life.,I feel eager to tackle my daily tasks or make new decisions.,I find I can think quite clearly.,"For me, life has been a continuous process of learning, changing, and growth.","People would describe me as a giving person, willing to share my time with others.",I have an adjusting nature and sense of belongingness.,"In general, I feel I am in charge of the situation in which I live.",I have a good influence on life.,Age-related problems are part of life.,I feel that I am capable of working hard.,I have no difficulty sleeping.,Maintaining close relationships gives pleasure to me.,I feel rested when I wake up in the morning.,"So far, I have the important things I want in life.",Personal relationships give me pleasure.,Illness doesn't affect my mental health.,It is always necessary that others approve of what I do.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,"Overall, I've been doing well but sometimes feel a bit down.",174,Focused on Self-Growth
The thought of an accident doesn't affect me.,"People would describe me as a giving person, willing to share my time with others.","In many ways, I feel contented about my achievements in life.",I keep myself busy the whole day.,I have no difficulty sleeping.,I always keep committed and involved.,I feel I can easily handle or cope with any serious problem.,I find easy to make decisions.,Illness doesn't affect my mental health.,I have no hesitation in talking to anyone.,In most ways my life is close to my ideal.,I have a good influence on life.,I have an adjusting nature and sense of belongingness.,I take immense interest in other people.,I feel eager to tackle my daily tasks or make new decisions.,I am always careful about my manner of dress.,I am quite good at managing responsibilities of my daily life.,Talking or thinking about my illness doesn't make any difference to me.,"In general, I feel I am in charge of the situation in which I live.",Tension in life doesn't affect my health.,I am living the kind of life I wanted to.,"If I could live my life over, I would change almost nothing.",I enjoy my personal achievements.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"So far, I have the important things I want in life.",Personal relationships give me pleasure.,I feel positive and creative.,"I remain energetic, active, and vigorous the whole day.",In my daily life I get a chance to show how capable I am.,Maintaining close relationships gives pleasure to me.,I have good relations with relatives and friends.,"I perform useful activities like reading, gardening, etc., in my leisure time.",The conditions of my life are excellent.,I feel rested when I wake up in the morning.,Age-related problems are part of life.,I think I have a particular meaning and purpose of my life.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I find I can think quite clearly.,I feel that I am capable of working hard.,"For me, life has been a continuous process of learning, changing, and growth.",I feel satisfied by doing religious activities.,I like to do any task at the right place and right time.,I like to watch programs on TV with everyone.,I enjoy the company of other people.,I experience warm and trusting relationships with others.,I am very much satisfied about everything in my life.,I feel I must do what others expect me to do.,It is always necessary that others approve of what I do.,I believe that people are essentially good and can be trusted.,I have happy memories of the past.,Disagree,Disagree,Agree,Undecided,Undecided,Agree,Agree,Agree,Disagree,Agree,Agree,Undecided,Disagree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Disagree,Disagree,Agree,Undecided,Disagree,Disagree,Agree,Agree,Agree,Undecided,Agree,Disagree,Agree,Agree,Undecided,Agree,Agree,Disagree,Disagree,I've been feeling a bit anxious and stressed due to work.,166,Single
The thought of an accident doesn't affect me.,"People would describe me as a giving person, willing to share my time with others.","In many ways, I feel contented about my achievements in life.",I keep myself busy the whole day.,I have no difficulty sleeping.,I always keep committed and involved.,I feel I can easily handle or cope with any serious problem.,I find easy to make decisions.,Illness doesn't affect my mental health.,I have no hesitation in talking to anyone.,In most ways my life is close to my ideal.,I have a good influence on life.,I have an adjusting nature and sense of belongingness.,I take immense interest in other people.,I feel eager to tackle my daily tasks or make new decisions.,I am always careful about my manner of dress.,I am quite good at managing responsibilities of my daily life.,Talking or thinking about my illness doesn't make any difference to me.,"In general, I feel I am in charge of the situation in which I live.",Tension in life doesn't affect my health.,I am living the kind of life I wanted to.,"If I could live my life over, I would change almost nothing.",I enjoy my personal achievements.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"So far, I have the important things I want in life.",Personal relationships give me pleasure.,I feel positive and creative.,"I remain energetic, active, and vigorous the whole day.",In my daily life I get a chance to show how capable I am.,Maintaining close relationships gives pleasure to me.,I have good relations with relatives and friends.,"I perform useful activities like reading, gardening, etc., in my leisure time.",The conditions of my life are excellent.,I feel rested when I wake up in the morning.,Age-related problems are part of life.,I think I have a particular meaning and purpose of my life.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I find I can think quite clearly.,I feel that I am capable of working hard.,"For me, life has been a continuous process of learning, changing, and growth.",I feel satisfied by doing religious activities.,I like to do any task at the right place and right time.,I like to watch programs on TV with everyone.,I enjoy the company of other people.,I experience warm and trusting relationships with others.,I am very much satisfied about everything in my life.,I feel I must do what others expect me to do.,It is always necessary that others approve of what I do.,I believe that people are essentially good and can be trusted.,I have happy memories of the past.,Disagree,Disagree,Agree,Undecided,Undecided,Agree,Agree,Agree,Disagree,Agree,Agree,Undecided,Disagree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Disagree,Disagree,Agree,Undecided,Disagree,Disagree,Agree,Agree,Agree,Undecided,Agree,Disagree,Agree,Agree,Undecided,Agree,Agree,Disagree,Disagree,I've been feeling a bit anxious and stressed due to work.,166,Single
